artifact_id,reference_path,reference_sha256,status,entrypoint,scope,notes
Figure_01,03_figures/fig01/Figure_01_enzyme_panel_overview.png,ae72beb95be821e737d41b1e4e62d870d13288315a63103a1a66bf691af1e4f6,PASS,03_figures/fig01/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_02,03_figures/fig02/Figure_02_retention_heatmap.png,85d8dbc8e0a7bdde4888d9076a4f55918c7f2e00c4ed81e7f53e6763e7f2932c,PASS,03_figures/fig02/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_03,03_figures/fig03/Figure_03_retained_interface_architecture.png,c2f4c455da511d981c8395f0380295e0cb1cc3bf3b4190777aa9cdc09bde7104,PASS,03_figures/fig03/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S02,03_figures/figS02/Figure_S02_spatial_retained_interfaces.png,907a9fe681103b357f567331b4944d549468a8e9596c16e9a3d261cb62bc75e1,PASS,03_figures/figS02/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_04,03_figures/fig04/Figure_04_L10_to_L20_interface_response.png,7ab1306d346b2c848141009c2a3f79c5a49e780deeab72135da774f036bc62b4,PASS,03_figures/fig04/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_05,03_figures/fig05/Figure_05_HiC_FoCut5a_differential_interface_use.png,850b00aaae6a3b7fdee794756f6956c7b70b616c13ae4d226d3dd77267cbcf42,PASS,03_figures/fig05/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_06,03_figures/fig06/Figure_06_local_interaction_geometry.png,1f8d3b0e643a667fe5226fca09e3a763603273214f8fbadecb7eeca8288a6043,PASS,03_figures/fig06/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S01,03_figures/figS01/Figure_S01_retention_filter_statistics.png,6104fa5f72d5a35f31f7377aed463c22fabbcc8dee01219ad35f0d206bd386bf,PASS,03_figures/figS01/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S03,03_figures/figS03/Figure_S03_class_contact_shift_uncertainty.png,05d691d11d0159cd182fb9d7f5853fd9986ff52ab2e8cbe10cf4344cf5891c64,PASS,03_figures/figS03/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
Figure_S04,03_figures/figS04/Figure_S04_PHL7_W156_rotamer_contact_coupling.png,f41264437c26bdefb0f44c9c587ed82f4ee8b881bdc8ae0a10cf0f5d3452cdb1,PASS,03_figures/figS04/make_figure.py,packaged_data_and_coordinates_to_exact_PNG,"Rechecked on the independent review export, 2026-09-14; see metadata/TEST_RESULTS.md for the exact reproduction level."
